arquivo,metrica,modelo,equacao,derivada,n_final,taxa_variacao_final,r2_ajustado,rmse
shellsort_descending.csv,comparisons,O(n²),y = 1.922891e-05n² + 13.143158n + -3904.758287,18.42841683077051,137430,18.42841683077051,0.997102049066977,23457.898145039515
shellsort_descending.csv,copies,O(n log n),y = 1.366280e+00nln(n) + 913.458588,17.53056135942869,137430,17.53056135942869,0.9964929487675702,26998.672272708332
shellsort_descending.csv,time_ns,O(n log n),y = 2.521495e+00nln(n) + 13394.619808,32.35297439790713,137430,32.35297439790713,0.9906834054734542,81444.63037630236
shellsort_near_ascending_pct.csv,comparisons,O(n²),y = 9.670632e-05n² + 26.542521n + -16964.684379,53.12322105312111,137430,53.12322105312111,0.9978951977367412,48343.22361038843
shellsort_near_ascending_pct.csv,copies,O(n²),y = 9.661199e-05n² + 26.768144n + -16970.222092,53.32291617110072,137430,53.32291617110072,0.997922956121174,48304.60420869294
shellsort_near_ascending_pct.csv,time_ns,O(n log n),y = 9.432903e+00nln(n) + -26627.175715,121.03235750538539,137430,121.03235750538539,0.9964736945783464,186913.6833677486
shellsort_near_descending_pct.csv,comparisons,O(n²),y = 1.021084e-04n² + 26.352287n + -15737.800985,54.41779937327401,137430,54.41779937327401,0.9972782790532844,55558.56484362809
shellsort_near_descending_pct.csv,copies,O(n²),y = 1.010812e-04n² + 26.993807n + -15921.830730,54.77698126205294,137430,54.77698126205294,0.9973978360212938,55101.114927209695
shellsort_near_descending_pct.csv,time_ns,O(n²),y = 1.860717e-04n² + 85.806053n + -32542.769479,136.94971302585682,137430,136.94971302585682,0.9988335497681655,103266.9425874805
shellsort_random.csv,comparisons,O(n²),y = 1.016222e-04n² + 28.557609n + -18121.095358,56.48948401006051,137430,56.48948401006051,0.9992429128333028,30972.61773155722
shellsort_random.csv,copies,O(n²),y = 1.014127e-04n² + 29.008744n + -18143.135091,56.88303712609037,137430,56.88303712609037,0.9992551249913426,31057.25270144989
shellsort_random.csv,time_ns,O(n log n),y = 9.817371e+00nln(n) + -31147.782358,125.96540460432607,137430,125.96540460432607,0.9979696435917427,147501.98087429692
